,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
0,USGS,2085070,2018-11-07 00:00,EST,330,P,3.08,P
1,USGS,2085070,2018-11-07 00:15,EST,323,P,3.06,P
2,USGS,2085070,2018-11-07 00:30,EST,326,P,3.07,P
3,USGS,2085070,2018-11-07 00:45,EST,316,P,3.04,P
4,USGS,2085070,2018-11-07 01:00,EST,316,P,3.04,P
5,USGS,2085070,2018-11-07 01:15,EST,316,P,3.04,P
6,USGS,2085070,2018-11-07 01:30,EST,316,P,3.04,P
7,USGS,2085070,2018-11-07 01:45,EST,309,P,3.02,P
8,USGS,2085070,2018-11-07 02:00,EST,312,P,3.03,P
9,USGS,2085070,2018-11-07 02:15,EST,309,P,3.02,P
10,USGS,2085070,2018-11-07 02:30,EST,309,P,3.02,P
11,USGS,2085070,2018-11-07 02:45,EST,306,P,3.01,P
12,USGS,2085070,2018-11-07 03:00,EST,302,P,3.0,P
13,USGS,2085070,2018-11-07 03:15,EST,302,P,3.0,P
14,USGS,2085070,2018-11-07 03:30,EST,302,P,3.0,P
15,USGS,2085070,2018-11-07 03:45,EST,299,P,2.99,P
16,USGS,2085070,2018-11-07 04:00,EST,299,P,2.99,P
17,USGS,2085070,2018-11-07 04:15,EST,292,P,2.97,P
18,USGS,2085070,2018-11-07 04:30,EST,292,P,2.97,P
19,USGS,2085070,2018-11-07 04:45,EST,292,P,2.97,P
20,USGS,2085070,2018-11-07 05:00,EST,289,P,2.96,P
21,USGS,2085070,2018-11-07 05:15,EST,285,P,2.95,P
22,USGS,2085070,2018-11-07 05:30,EST,285,P,2.95,P
23,USGS,2085070,2018-11-07 05:45,EST,285,P,2.95,P
24,USGS,2085070,2018-11-07 06:00,EST,282,P,2.94,P
25,USGS,2085070,2018-11-07 06:15,EST,282,P,2.94,P
26,USGS,2085070,2018-11-07 06:30,EST,282,P,2.94,P
27,USGS,2085070,2018-11-07 06:45,EST,276,P,2.92,P
28,USGS,2085070,2018-11-07 07:00,EST,276,P,2.92,P
29,USGS,2085070,2018-11-07 07:15,EST,272,P,2.91,P
30,USGS,2085070,2018-11-07 07:30,EST,269,P,2.9,P
31,USGS,2085070,2018-11-07 07:45,EST,269,P,2.9,P
32,USGS,2085070,2018-11-07 08:00,EST,266,P,2.89,P
33,USGS,2085070,2018-11-07 08:15,EST,269,P,2.9,P
34,USGS,2085070,2018-11-07 08:30,EST,266,P,2.89,P
35,USGS,2085070,2018-11-07 08:45,EST,263,P,2.88,P
36,USGS,2085070,2018-11-07 09:00,EST,263,P,2.88,P
37,USGS,2085070,2018-11-07 09:15,EST,257,P,2.86,P
38,USGS,2085070,2018-11-07 09:30,EST,260,P,2.87,P
39,USGS,2085070,2018-11-07 09:45,EST,257,P,2.86,P
40,USGS,2085070,2018-11-07 10:00,EST,257,P,2.86,P
41,USGS,2085070,2018-11-07 10:15,EST,254,P,2.85,P
42,USGS,2085070,2018-11-07 10:30,EST,251,P,2.84,P
43,USGS,2085070,2018-11-07 10:45,EST,251,P,2.84,P
44,USGS,2085070,2018-11-07 11:00,EST,251,P,2.84,P
45,USGS,2085070,2018-11-07 11:15,EST,248,P,2.83,P
46,USGS,2085070,2018-11-07 11:30,EST,248,P,2.83,P
47,USGS,2085070,2018-11-07 11:45,EST,245,P,2.82,P
48,USGS,2085070,2018-11-07 12:00,EST,245,P,2.82,P
49,USGS,2085070,2018-11-07 12:15,EST,242,P,2.81,P
50,USGS,2085070,2018-11-07 12:30,EST,242,P,2.81,P
51,USGS,2085070,2018-11-07 12:45,EST,239,P,2.8,P
52,USGS,2085070,2018-11-07 13:00,EST,239,P,2.8,P
53,USGS,2085070,2018-11-07 13:15,EST,242,P,2.81,P
54,USGS,2085070,2018-11-07 13:30,EST,239,P,2.8,P
55,USGS,2085070,2018-11-07 13:45,EST,233,P,2.78,P
56,USGS,2085070,2018-11-07 14:00,EST,233,P,2.78,P
57,USGS,2085070,2018-11-07 14:15,EST,233,P,2.78,P
58,USGS,2085070,2018-11-07 14:30,EST,231,P,2.77,P
59,USGS,2085070,2018-11-07 14:45,EST,231,P,2.77,P
60,USGS,2085070,2018-11-07 15:00,EST,231,P,2.77,P
61,USGS,2085070,2018-11-07 15:15,EST,228,P,2.76,P
62,USGS,2085070,2018-11-07 15:30,EST,228,P,2.76,P
63,USGS,2085070,2018-11-07 15:45,EST,225,P,2.75,P
64,USGS,2085070,2018-11-07 16:00,EST,225,P,2.75,P
65,USGS,2085070,2018-11-07 16:15,EST,222,P,2.74,P
66,USGS,2085070,2018-11-07 16:30,EST,222,P,2.74,P
67,USGS,2085070,2018-11-07 16:45,EST,220,P,2.73,P
68,USGS,2085070,2018-11-07 17:00,EST,220,P,2.73,P
69,USGS,2085070,2018-11-07 17:15,EST,220,P,2.73,P
70,USGS,2085070,2018-11-07 17:30,EST,217,P,2.72,P
